pair_id,t0,glofas_state_time,lag_hours,source,status,staleness,proxy_city,q_m3s,walkback_days,processing_version,source_version
evt:2024-06-22|dhaka_ne|ENSEMBLE_FLOOD_20240622T120508_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3,2024-06-22T12:05:08Z,2024-06-22T00:00:00Z,12.085555555555555,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,44.19,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_ne|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3,2024-07-04T12:05:07Z,2024-07-04T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,58.57,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_ne|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3,2024-07-16T12:05:07Z,2024-07-16T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,31.14,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_ne|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240809T120506_VV_AS020M_E039N021T3,2024-07-28T12:05:06Z,2024-07-28T00:00:00Z,12.085,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,26.16,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_nw|ENSEMBLE_FLOOD_20240622T120508_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3,2024-06-22T12:05:08Z,2024-06-22T00:00:00Z,12.085555555555555,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,44.19,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_nw|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3,2024-07-04T12:05:07Z,2024-07-04T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,58.57,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_nw|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3,2024-07-16T12:05:07Z,2024-07-16T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,31.14,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_nw|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240809T120506_VV_AS020M_E039N021T3,2024-07-28T12:05:06Z,2024-07-28T00:00:00Z,12.085,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,26.16,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_se|ENSEMBLE_FLOOD_20240624T235631_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240811T235630_VV_AS020M_E039N021T3,2024-06-24T23:56:31Z,2024-06-24T00:00:00Z,23.941944444444445,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,23.32,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|dhaka_sw|ENSEMBLE_FLOOD_20240624T235631_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240811T235630_VV_AS020M_E039N021T3,2024-06-24T23:56:31Z,2024-06-24T00:00:00Z,23.941944444444445,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,dhaka,23.32,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|kishoreganj|ENSEMBLE_FLOOD_20240622T120508_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3,2024-06-22T12:05:08Z,2024-06-22T00:00:00Z,12.085555555555555,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,52.33,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|kishoreganj|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3,2024-07-04T12:05:07Z,2024-07-04T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,60.09,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|kishoreganj|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3,2024-07-16T12:05:07Z,2024-07-16T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,56.68,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|kishoreganj|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240809T120506_VV_AS020M_E039N021T3,2024-07-28T12:05:06Z,2024-07-28T00:00:00Z,12.085,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,51.12,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|netrokona|ENSEMBLE_FLOOD_20240622T120508_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3,2024-06-22T12:05:08Z,2024-06-22T00:00:00Z,12.085555555555555,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,52.33,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|netrokona|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3,2024-07-04T12:05:07Z,2024-07-04T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,60.09,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|netrokona|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3,2024-07-16T12:05:07Z,2024-07-16T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,56.68,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|netrokona|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240809T120506_VV_AS020M_E039N021T3,2024-07-28T12:05:06Z,2024-07-28T00:00:00Z,12.085,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,51.12,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|sunamganj|ENSEMBLE_FLOOD_20240622T120508_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3,2024-06-22T12:05:08Z,2024-06-22T00:00:00Z,12.085555555555555,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,52.33,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|sunamganj|ENSEMBLE_FLOOD_20240704T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3,2024-07-04T12:05:07Z,2024-07-04T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,60.09,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|sunamganj|ENSEMBLE_FLOOD_20240716T120507_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3,2024-07-16T12:05:07Z,2024-07-16T00:00:00Z,12.085277777777778,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,56.68,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
evt:2024-06-22|sunamganj|ENSEMBLE_FLOOD_20240728T120506_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20240809T120506_VV_AS020M_E039N021T3,2024-07-28T12:05:06Z,2024-07-28T00:00:00Z,12.085,glofas-reanalysis-open-meteo,MODELLED_STATE,FRESH,sunamganj,51.12,0,phase6.9a-hydro-t0-v1,open-meteo-glofas-v4-reanalysis-2015-2024
