pair_id,event_id,city_id,year,t0,t1,delta_t_hours,delta_t_days,delta_t_bucket,forecast_forcing_available,forecast_coverage_fraction,forecast_status,obs_in_horizon_coverage,obs_in_horizon_availability,hydrological_state_availability,label_valid_fraction,unknown_fraction,new_flood_fraction
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_ne,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.113525390625,0.886474609375,0.03870967741935484
evt:2017-04-12|dhaka_ne|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_ne,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.113525390625,0.886474609375,0.012903225806451613
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170412T120427_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_nw,2017,2017-04-12T12:04:27Z,2017-04-24T12:04:28Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.327880859375,0.672119140625,0.0
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170424T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_nw,2017,2017-04-24T12:04:28Z,2017-05-06T12:04:28Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.3271484375,0.6728515625,0.0007462686567164179
evt:2017-04-12|dhaka_nw|ENSEMBLE_FLOOD_20170506T120428_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170518T120429_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_nw,2017,2017-05-06T12:04:28Z,2017-05-18T12:04:29Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.3271484375,0.6728515625,0.0
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170414T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_se,2017,2017-04-14T23:55:51Z,2017-04-26T23:55:51Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.59765625,0.40234375,0.0016339869281045752
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_se,2017,2017-04-26T23:55:51Z,2017-05-08T23:55:52Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.59765625,0.40234375,0.0
evt:2017-04-12|dhaka_se|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170520T235553_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_se,2017,2017-05-08T23:55:52Z,2017-05-20T23:55:53Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.59765625,0.40234375,0.0
evt:2017-04-12|dhaka_sw|ENSEMBLE_FLOOD_20170414T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_sw,2017,2017-04-14T23:55:51Z,2017-04-26T23:55:51Z,288.0,12.0,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.81689453125,0.18310546875,0.0
evt:2017-04-12|dhaka_sw|ENSEMBLE_FLOOD_20170426T235551_VV_AS020M_E039N021T3|ENSEMBLE_FLOOD_20170508T235552_VV_AS020M_E039N021T3,evt:2017-04-12,dhaka_sw,2017,2017-04-26T23:55:51Z,2017-05-08T23:55:52Z,288.0002777777778,12.000011574074074,10-14 days,False,0.0,UNAVAILABLE,1.0,POST-T0 OBSERVATION,POST_T0,0.81689453125,0.18310546875,0.0
